,TIME_STAMP,TEMPERATURE
1,2019-04-09 23:00:00,68.0
2,2019-04-10 00:00:00,68.0
3,2019-04-10 01:00:00,67.0
4,2019-04-10 02:00:00,67.0
5,2019-04-10 03:00:00,66.0
6,2019-04-10 04:00:00,65.0
7,2019-04-10 05:00:00,64.0
8,2019-04-10 06:00:00,63.0
9,2019-04-10 07:00:00,62.0
10,2019-04-10 08:00:00,61.0
11,2019-04-10 09:00:00,62.0
12,2019-04-10 10:00:00,63.0
13,2019-04-10 11:00:00,66.0
14,2019-04-10 12:00:00,69.0
15,2019-04-10 13:00:00,71.0
16,2019-04-10 14:00:00,73.0
17,2019-04-10 15:00:00,75.0
18,2019-04-10 16:00:00,77.0
19,2019-04-10 17:00:00,79.0
20,2019-04-10 18:00:00,80.0
21,2019-04-10 19:00:00,82.0
22,2019-04-10 20:00:00,82.0
23,2019-04-10 21:00:00,81.0
24,2019-04-10 22:00:00,79.0
25,2019-04-10 23:00:00,77.0
26,2019-04-11 00:00:00,75.0
27,2019-04-11 01:00:00,73.0
28,2019-04-11 02:00:00,71.0
29,2019-04-11 03:00:00,70.0
30,2019-04-11 04:00:00,68.0
31,2019-04-11 05:00:00,67.0
32,2019-04-11 06:00:00,67.0
33,2019-04-11 07:00:00,67.0
34,2019-04-11 08:00:00,67.0
35,2019-04-11 09:00:00,67.0
36,2019-04-11 10:00:00,69.0
37,2019-04-11 11:00:00,70.0
38,2019-04-11 12:00:00,72.0
39,2019-04-11 13:00:00,74.0
40,2019-04-11 14:00:00,75.0
41,2019-04-11 15:00:00,77.0
42,2019-04-11 16:00:00,79.0
43,2019-04-11 17:00:00,80.0
44,2019-04-11 18:00:00,80.0
45,2019-04-11 19:00:00,81.0
46,2019-04-11 20:00:00,81.0
47,2019-04-11 21:00:00,81.0
48,2019-04-11 21:00:00,80.0
49,2019-04-11 22:00:00,80.0
50,2019-04-11 23:00:00,79.0
51,2019-04-12 00:00:00,78.0
52,2019-04-12 01:00:00,78.0
53,2019-04-12 02:00:00,76.0
54,2019-04-12 03:00:00,76.0
55,2019-04-12 04:00:00,75.0
56,2019-04-12 05:00:00,75.0
57,2019-04-12 06:00:00,74.0
58,2019-04-12 07:00:00,74.0
59,2019-04-12 08:00:00,73.0
60,2019-04-12 09:00:00,73.0
61,2019-04-12 10:00:00,73.0
62,2019-04-12 11:00:00,73.0
63,2019-04-12 12:00:00,74.0
64,2019-04-12 13:00:00,75.0
65,2019-04-12 14:00:00,76.0
66,2019-04-12 15:00:00,77.0
67,2019-04-12 16:00:00,78.0
68,2019-04-12 17:00:00,79.0
69,2019-04-12 18:00:00,79.0
70,2019-04-12 19:00:00,79.0
71,2019-04-12 20:00:00,79.0
72,2019-04-12 21:00:00,78.0
73,2019-04-12 22:00:00,76.0
74,2019-04-12 23:00:00,75.0
75,2019-04-13 00:00:00,74.0
76,2019-04-13 01:00:00,72.0
77,2019-04-13 02:00:00,71.0
78,2019-04-13 03:00:00,70.0
79,2019-04-13 04:00:00,69.0
80,2019-04-13 05:00:00,68.0
81,2019-04-13 06:00:00,68.0
82,2019-04-13 07:00:00,67.0
83,2019-04-13 08:00:00,67.0
84,2019-04-13 09:00:00,67.0
85,2019-04-13 10:00:00,68.0
86,2019-04-13 11:00:00,69.0
87,2019-04-13 12:00:00,71.0
88,2019-04-13 13:00:00,72.0
89,2019-04-13 14:00:00,74.0
90,2019-04-13 15:00:00,75.0
91,2019-04-13 16:00:00,77.0
92,2019-04-13 17:00:00,78.0
93,2019-04-13 18:00:00,80.0
94,2019-04-13 19:00:00,80.0
95,2019-04-13 20:00:00,80.0
96,2019-04-13 21:00:00,80.0
97,2019-04-13 22:00:00,80.0
98,2019-04-13 23:00:00,79.0
99,2019-04-14 00:00:00,79.0
100,2019-04-14 01:00:00,78.0
101,2019-04-14 02:00:00,78.0
102,2019-04-14 03:00:00,78.0
103,2019-04-14 04:00:00,77.0
104,2019-04-14 05:00:00,77.0
105,2019-04-14 06:00:00,76.0
106,2019-04-14 07:00:00,76.0
107,2019-04-14 08:00:00,75.0
108,2019-04-14 09:00:00,75.0
109,2019-04-14 10:00:00,75.0
110,2019-04-14 11:00:00,74.0
111,2019-04-14 12:00:00,74.0
112,2019-04-14 13:00:00,73.0
113,2019-04-14 14:00:00,74.0
114,2019-04-14 15:00:00,75.0
115,2019-04-14 16:00:00,76.0
116,2019-04-14 17:00:00,77.0
117,2019-04-14 18:00:00,78.0
118,2019-04-14 19:00:00,78.0
119,2019-04-14 20:00:00,76.0
120,2019-04-14 21:00:00,74.0
121,2019-04-14 22:00:00,72.0
122,2019-04-14 23:00:00,70.0
123,2019-04-15 00:00:00,67.0
124,2019-04-15 01:00:00,65.0
125,2019-04-15 02:00:00,63.0
126,2019-04-15 03:00:00,62.0
127,2019-04-15 04:00:00,60.0
128,2019-04-15 05:00:00,58.0
129,2019-04-15 06:00:00,57.0
130,2019-04-15 07:00:00,55.0
131,2019-04-15 08:00:00,54.0
132,2019-04-15 09:00:00,54.0
133,2019-04-15 10:00:00,54.0
134,2019-04-15 11:00:00,55.0
135,2019-04-15 12:00:00,56.0
136,2019-04-15 13:00:00,57.0
137,2019-04-15 14:00:00,58.0
138,2019-04-15 15:00:00,60.0
139,2019-04-15 16:00:00,62.0
140,2019-04-15 17:00:00,64.0
141,2019-04-15 18:00:00,65.0
142,2019-04-15 19:00:00,66.0
143,2019-04-15 20:00:00,66.0
144,2019-04-15 21:00:00,66.0
145,2019-04-15 22:00:00,64.0
146,2019-04-15 23:00:00,63.0
147,2019-04-16 00:00:00,61.0
148,2019-04-16 01:00:00,60.0
149,2019-04-16 02:00:00,58.0
150,2019-04-16 03:00:00,56.0
151,2019-04-16 04:00:00,55.0
152,2019-04-16 05:00:00,53.0
153,2019-04-16 06:00:00,52.0
154,2019-04-16 07:00:00,51.0
155,2019-04-16 08:00:00,51.0
156,2019-04-16 09:00:00,52.0
