City,Hour,F_Temp,A_Temp
Boston,3 AM - Apr/11,36.61,36.28
Boston,4 AM - Apr/11,35.21,35.48
Boston,5 AM - Apr/11,33.81,34.9
Boston,6 AM - Apr/11,32.91,34.85
Boston,7 AM - Apr/11,33.05,34.46
Boston,8 AM - Apr/11,32.76,33.95
Boston,9 AM - Apr/11,32.94,33.87
Boston,10 AM - Apr/11,33.69,34.48
Boston,11 AM - Apr/11,35.16,35.58
Boston,12 PM - Apr/11,39.37,37.99
Boston,1 PM - Apr/11,41.42,41.17
Boston,2 PM - Apr/11,43.01,43.02
Boston,3 PM - Apr/11,44.52,44.5
Boston,4 PM - Apr/11,45.94,45.96
Boston,5 PM - Apr/11,47.05,47.56
Boston,6 PM - Apr/11,48.85,49.71
Boston,7 PM - Apr/11,52.67,51.68
Boston,8 PM - Apr/11,53.72,53.08
Boston,9 PM - Apr/11,52.47,53.52
Boston,10 PM - Apr/11,51.15,52.87
Boston,11 PM - Apr/11,50.76,51.51
Boston,12 AM - Apr/12,48.58,47.93
Boston,1 AM - Apr/12,46.9,45.87
Boston,2 AM - Apr/12,45.89,44.17
Boston,3 AM - Apr/12,44.64,44.78
Boston,4 AM - Apr/12,43.51,43.7
Boston,5 AM - Apr/12,41.06,42.45
Boston,6 AM - Apr/12,39.51,41.43
Boston,7 AM - Apr/12,38.64,40.1
Boston,8 AM - Apr/12,37.97,39.04
Boston,9 AM - Apr/12,37.56,38.71
Boston,10 AM - Apr/12,39.54,39.3
Boston,11 AM - Apr/12,41.74,40.63
Boston,12 PM - Apr/12,43.56,42.47
Boston,1 PM - Apr/12,45.33,45.15
Boston,2 PM - Apr/12,46.96,47.83
Boston,3 PM - Apr/12,47.12,49.41
Boston,4 PM - Apr/12,47.95,50.31
Boston,5 PM - Apr/12,49.56,51.44
Boston,6 PM - Apr/12,51.7,52.56
Boston,7 PM - Apr/12,53.05,53.86
Boston,8 PM - Apr/12,53.23,54.98
Boston,9 PM - Apr/12,51.67,55.65
Boston,10 PM - Apr/12,51.83,54.79
Boston,11 PM - Apr/12,51.11,52.35
Boston,12 AM - Apr/13,51.17,50.91
Boston,1 AM - Apr/13,51.33,51.16
Boston,2 AM - Apr/13,51.43,51.79
Boston,3 AM - Apr/13,52.25,52.73
Boston,4 AM - Apr/13,54,54.08
Boston,5 AM - Apr/13,57.67,56.33
Boston,6 AM - Apr/13,57.93,58.22
Boston,7 AM - Apr/13,59.4,58.54
Boston,8 AM - Apr/13,60.08,58.71
Boston,9 AM - Apr/13,60.21,58.54
Boston,10 AM - Apr/13,59.73,57.91
Boston,11 AM - Apr/13,59.68,57.41
Boston,12 PM - Apr/13,60.74,58.44
Boston,1 PM - Apr/13,60.15,58.79
